can,可以
record,唱片
vice president,副总裁
enlarge,放大
Refinery,炼油厂
Words,词语
Lips,嘴唇
Elizabeth,伊丽莎白
quarrel,争吵
Friends,好友
Increase,增幅
Anna,安娜
embassy,大使馆
Jerusalem,耶路撒冷
Elected,选出
blood pressure,血压
noble,贵族
Compound,化合物
Economic and trade,经贸
Survival,存活
Taylor,泰勒
airliner,客机
mild,温和
Receive,收取
Starred,出演
Federal government,联邦政府
abolition,废除
file,档案
Love,恋情
Voltage,电压
Real,雷亚尔
ending,结局
Disclosure,披露
Central Bank,中央银行
power,势力
Jones,琼斯
landscape,景观
investors,投资商
equal,等于
folk,民间
Financial industry,金融业
camera,相机
aesthetics,美学
Inspired,启发
Trait,特质
heaven,天堂
Head,脑袋
Imaging,成像
Congressman,国会议员
feed,饲料
Peer,同行
Only,仅为
Daniel,丹尼尔
Wall,墙上
knee,膝盖
Correlation,相关性
skin,肌肤
We all know,众所周知
supply,供给
warming,变暖
End,终结
tuition,学费
capacity,容量
legend,传说
flame,火焰
pronunciation,发音
New people,新人
The newspaper,该报
Well,油井
The plant,该厂
National debt,国债
Favor,青睐
Withdrawal,撤出
corridor,走廊
cold,寒冷
willing,乐意
diversification,多样化
Jazz,爵士
About,约合
Outdated,过时
Pricing,定价
Quantitative,定量
Attached,附加
interaction,相互作用
China,中方
As,身为
Interpretation,解读
Stroke,中风
pretend,假装
East,东方
Login,登陆
Got it,受过
criminal,罪犯
Loan,借贷
Ethiopia,埃塞俄比亚
Leaderboards,排行榜
cooperation,协作
Chinese New Year,春节
Manuel,曼努埃尔
complication,并发症
fossil,化石
collision,碰撞
control,管制
container,容器
water surface,水面
Effectiveness,效力
Used,用到
package,包裹
Surprise,惊喜
secretary,秘书
Customs,海关
Opened,开业
Better than,优于
Very much,备受
chip,芯片
This,这座
Order,下令
key,钥匙
Ohio,俄亥俄州
astronaut,宇航员
blue,蓝色
McDonald's,麦当劳
Hands,双手
symbol,符号
zoo,动物园
output,产出
short term,短期
Can not get it,得不到
Benchmark,基准
Missing,失踪
Driving,行驶
source,根源
draw,绘制
semiconductor,半导体
scene,情景
Doorway,门口
Radio,电台
refrigerator,冰箱
Expo,博览会
set,集合
Wall Street Journal,华尔街日报
human nature,人性
classic,经典
National Bureau of Statistics,国家统计局
Crimea,克里米亚
panic,恐慌
abuse,滥用
former,前者
Federation,联合会
The play,该剧
More,更具
Seats,席位
return,重返
twice,两次
striking,引人注目
deprivation,剥夺
deliver,交付
Deal with,打交道
Abbas,阿巴斯
Gaming,博彩
West Asia,西亚
Exterior,外观
mean,意味
Seoul,首尔
Seemingly,看似
Demo,演示
friction,摩擦
city ​​center,市中心
Harry,哈利
Reception,接待
secretion,分泌
Southern Africa,南部非洲
Limbs,肢体
Benguela,本格拉
pace,步伐
Islands,群岛
radar,雷达
Easy,易于
dinosaur,恐龙
walk,走路
Total revenue,总收入
labor,劳工
Little brother,弟弟
Used,用以
Personality,人格
Silva,席尔瓦
painting,绘画
Same period,同期
anesthesia,麻醉
Architecture,架构
Die,死去
spread,蔓延
Come on,开来
Difficulty,难度
concession,让步
lion,狮子
Ushered in,迎来
firm,坚定
microorganism,微生物
noise,噪音
silence,沉默
direction,指向
Develop,养成
genius,天才
firearms,枪支
Unbelievable,不可思议
take off,起飞
Chemical material,化学物质
Has,设有
stop,制止
Model,车型
Lost,丢失
reputation,名声
Quarterly,季度
As done,当做
No,不行
motion,议案
melt,融化
Mumbai,孟买
Scramble,争夺
hormone,激素
Meet,开会
disgust,厌恶
Wear and tear,磨损
Opening ceremony,开幕式
Sina,新浪
kiss,亲吻
hacker,黑客
Make people,使人
Fire,火灾
filter,过滤
Harvard University,哈佛大学
ion,离子
substance,实质
chart,图表
cure,治愈
Tactics,手法
Civil servants,公务员
ant,蚂蚁
Harry,哈里
brother,哥哥
whole body,全身
waiting,等候
Withdrawal,撤军
Joint venture,合资企业
will,意志
Congo,刚果
Pula,普拉
General manager,总经理
Foreign Minister,外交部长
cabinet,内阁
Harvard,哈佛
Experience,体会
roof,屋顶
meet,遇见
Musical instruments,乐器
Brave,勇敢
America,美洲
Up,上来
Try,试试
catalyst,催化剂
Wearing,身穿
Black hole,黑洞
Cashew nuts,腰果
impulse,冲动
interesting,有意思
Las Vegas,拉斯维加斯
Candidate,人选
Rehabilitation,康复
Loss,亏损
Luxury,奢侈品
Evolution,演变
Two parties,两党
expand,拓展
height,身高
Talk about,谈谈
harmonious,和谐
Perception,感知
Renovation,整修
surplus,盈余
"Co., Ltd.",股份有限公司
Inauguration,就职
Hit,创下
saving,节约
abnormal,异常
goat,山羊
Florida,佛罗里达
Taste,口味
Clarify,阐明
negative,消极
Thinking,想着
manager,管理人员
Fish,鱼类
Crossed,越过
Branch,分公司
Bella,贝拉
cosmetic,化妆品
Angolan government,安哥拉政府
cover,掩盖
Booking,预订
accumulation,累积
future,前途
Better,好转
clone,克隆
speech,演说
Bright,明亮
silly,愚蠢
Total value,总值
comedy,喜剧
tennis,网球
Jewelry,珠宝
Solve,求解
watch TV,看电视
scene,场面
Apply,施加
Fabric,织物
Southeast Asia,东南亚
shopping center,购物中心
trademark,商标
limit,限度
Austria,奥地利
geometry,几何
struggle,奋斗
Devaluation,贬值
girlfriend,女朋友
exposure,曝光
shark,鲨鱼
Argument,论证
WC,厕所
dispute,纠纷
one person,一人
remuneration,报酬
how about it,怎么样
dress up,打扮
Success,取得成功
Review,审视
Damaged,受损
Security forces,安全部队
Florida,佛罗里达州
Yesterday,昨日
Equipped,配备
Starring,主演
radioactivity,放射性
Cookies,饼干
Oil industry,石油业
Malawi,马拉维
offense,罪行
Jealous,嫉妒
Yahoo,雅虎
variation,变异
hairstyle,发型
member,会员
A meal,一顿
fall,秋天
Supreme Court,最高法院
Two people,二人
light,灯光
Military action,军事行动
dyeing,染色
Stir up,激起
artwork,艺术品
banana,香蕉
noun,名词
Thanksgiving,感恩节
limit,界限
write,书写
Wen Jiabao,温家宝
Disease,发病
Locals,当地人
statement,陈述
Browser,浏览器
etiquette,礼仪
Ethanol,乙醇
Components,零件
Daily output,日产量
Count it,算是
Hinder,妨碍
Race,赛事
Referendum,公投
flat,平面
Branch,分行
Certified,认定
Take measures,采取措施
Rise,兴起
something,某事
Dress,礼服
Decades,几十年
offset,抵消
Create,营造
Shakespeare,莎士比亚
Lesions,病变
blank,空白
Manufacturers,厂商
instrument,仪器
bending,弯曲
ice cream,冰淇淋
Cause,致使
Book,预定
Management,管理层
Listed company,上市公司
northeast,东北部
famous,闻名
Probability,概率
Berlin,柏林
Islam,伊斯兰教
cigarette,香烟
take over,接管
tear down,拆除
doubt,疑问
Different,与众不同
Comics,漫画
red,红色
reconciliation,和解
Dressed,身着
partner,合伙人
tent,帐篷
Avian Influenza,禽流感
certificate,证书
Guangdong,广东
monkey,猴子
powerful,有力
cold,感冒
in stock,库存
Transformation,转型
Council,理事会
Ask questions,提问
At the meeting,会上
Eyes,眼神
adaptation,改编
carat,克拉
foreign exchange reserves,外汇储备
contain,遏制
Covered,涵盖
avoid,回避
Service industry,服务业
benefit,益处
fashionable,时髦
Embryo,胚胎
tropical,热带
Large,大片
Online,在线
Bounce,反弹
Mapping,映射
This period,本期
determination,判定
convenient,便利
Macro economy,宏观经济
Depression,抑郁症
Lee Myung-bak,李明博
This time,这起
Budget,财政预算
Site,站点
Modeling,建模
metabolism,代谢
protagonist,主角
busy,忙碌
One,一本
Expelled,驱逐
Moore,摩尔
Victoria,维多利亚
political campaign,竞选活动
law,法则
Tanzania,坦桑尼亚
Carter,卡特
Done,做过
Opened,开通
Smile,笑容
script,脚本
Violation,违背
Hawaii,夏威夷
intermediary,中介
Programming,编程
Carlos,卡洛斯
Less than,小于
beauty,美女
power plant,发电厂
Hotel,宾馆
author,笔者
Amino acids,氨基酸
Dispatch,调度
conspiracy,阴谋
Really,真的
One thing,一事
national defense,国防
Buy it,买下
glad to,乐于
World Health Organization,世界卫生组织
pants,裤子
template,模板
wide awake,清醒
Dress,着装
Physician,医师
minority,少数民族
The world,世上
Stratum,阶层
Agricultural products,农产品
Business,商家
Occurrence rate,发生率
caffeine,咖啡因
Loose,宽松
concentrate,浓缩
Back to,追溯到
European Commission,欧盟委员会
child,小孩子
heritage,遗产
land,陆地
form,表格
Negative impact,负面影响
pirate,海盗
Living,身处
Watch,手表
trauma,创伤
Controller,控制器
Adam,亚当
elevator,电梯
blade,叶片
moment,瞬间
film,薄膜
wallet,钱包
mouse,鼠标
organ,机关
Hit,撞击
Price increased,价格上涨
smoothly,顺利
fine,罚款
real life,现实生活
A big one,一大
primary school,小学
hypertension,高血压
taxi,出租车
Fragment,片段
Bold,大胆
joy,喜悦
Yoga,瑜伽
manner,举止
optical fiber,光纤
funeral,葬礼
motherland,祖国
statistics,统计学
Flooded,充斥
pulse,脉冲
Villagers,村民
Communist Party,共产党
forgive,原谅
Demonstration,示威
tunnel,隧道
Buri,布里
prisoner,囚犯
Quote,报价
geography,地理
broker,经纪人
box,箱子
Zambia,赞比亚
Oil prospecting,石油勘探
Guangdong Province,广东省
asphalt,沥青
instruction,指令
second only to,仅次于
Obvious,显而易见
Integration,一体化
Raw materials,原材料
stem cell,干细胞
As,看成
Tycoon,大亨
Presidential election,总统大选
letter,信件
Matters,事宜
Inspired,鼓舞
little girl,小女孩
RAM,内存
communication,交际
rich,有钱
fluidity,流动性
Sorry,抱歉
misunderstanding,误解
mammal,哺乳动物
Included,纳入
advent,来临
Observer,观察员
power,功率
Tired,厌倦
competition,竞赛
ignite,点燃
Ali,阿里
Rebel,反抗
Porter,波特
Staged,上演
crack,裂纹
Solution,解决办法
Off work,下班
instinct,本能
Ease,缓和
piano,钢琴
intern,实习生
trust,信赖
Suffering,患上
companion,同伴
Saudi Arabia,沙特
New government,新政府
Uncertainty,不确定性
Fault,断层
Holding,控股
Video,录像
witness,见证
Due,所致
Defined,界定
autumn,秋季
Baghdad,巴格达
Assembly,组装
image,影像
high temperature,高温
current,本届
Bito,比托
Each big,各大
resistance,阻力
Optical,光学
Leap,跨越
script,剧本
Moment,一刻
shoulder,肩膀
both,二者
High-ranking official,高级官员
Jim,吉姆
nature,大自然
coat,外套
reliability,可靠性
moon,月亮
formula,配方
blockade,封锁
green,绿色
Promote,促成
greedy,贪婪
New York City,纽约市
depression,萧条
Present,在场
Lenovo,联想
Twist,扭转
Behind,身后
dignity,尊严
Prosecutor,检察官
Newborns,新生儿
international market,国际市场
Chamber of Commerce,商会
Consultation,磋商
Water resources,水资源
Elephant,大象
Xi Jinping,习近平
industrialization,工业化
Born,天生
Narrative,叙事
compression,压缩
Point,要点
issue a statement,发表声明
Unite,统一
Estimated,估算
Deviation,偏离
bathroom,浴室
taste,品尝
Secretary,局长
Liabilities,负债
save,挽救
abdomen,腹部
defendant,被告
chromosome,染色体
Had,有过
boyfriend,男朋友
matter,事项
Everyone,众人
diffraction,衍射
Republic,共和国
Imprisonment,监禁
tilt,倾斜
Dean,院长
Slow down,减缓
criminal,刑事
Ordinance,条例
vision,视力
Bound,束缚
wise,明智
warehouse,仓库
sandwich,三明治
Collection,收藏
landscape,风景
dorm room,宿舍
Ultrasound,超声
Began,始于
assistant,助手
Open,营业
Showing,呈现出
High end,高端
cholesterol,胆固醇
Act,行事
Work efficiency,工作效率
Little things,小事
drinking water,饮用水
reputation,声誉
post,邮报
Chief Executive Officer,首席执行长
Recover,收回
Saudi Arabia,沙特阿拉伯
Exposed,露出
Arctic,北极
serious,严肃
Mistakes,失误
Bray,布雷
Listed as,列为
By,深受
Partnerships,伙伴关系
Privatization,私有化
Bacillus,杆菌
Economic and Trade Cooperation,经贸合作
Study abroad,留学
Medway,梅德韦
Antonio,安东尼奥
Prevent,防范
implement,落实
regret,后悔
Book,书中
draft,草案
Everyone,人人
Channel,频道
qualified,合格
fill in,填写
Inflow,流入
Studying,就读
filling,填充
part time,兼职
accurate,精确
Andrew,安德鲁
origin,起源
illumination,照明
specimen,标本
benefit,效益
Sailing,航行
Dubai,迪拜
electrode,电极
load,负荷
first aid,急救
creditor,债权人
fragrance,香味
Lieutenant,中将
sister,姐姐
Surrounded,包围
prepared by,编制
information Technology,信息技术
bid farewell,告别
spy,间谍
Edward,爱德华
survivor,幸存者
necessity,必要性
Growth rate,增速
count,计数
Crystal,晶体
Vector,载体
Drama,剧情
deceased,死者
Analyst,分析家
Fuel,燃油
pace,脚步
Growth,增长速度
banker,银行家
value,看重
Singh,辛格
holiday,假日
beginning,开头
Mold,模具
distortion,扭曲
Effectiveness,有效性
Money management,理财
Turner,特纳
mirror,镜子
the first lady,第一夫人
accompany,陪伴
Marxism,马克思主义
go ahead,前进
Green,格林
Muhammad,穆罕默德
Geneva,日内瓦
Business,商界
French,法语
Add,增添
Agenda,议程
in vitro,体外
rose,玫瑰
Preference,偏好
change,变动
clinic,诊所
skirt,裙子
destroy,毁灭
roadside,路边
Leave,休假
Rye,拉伊
Girl,少女
Syndrome,综合征
agile,敏捷
Community,社团
reduce,缩减
Watch,注视
oxygen,氧气
uterus,子宫
Journey,旅途
castle,城堡
blackberries,黑莓
Immigration,入境
seal,密封
Products,制品
Killer,杀手
Give way,泄露
Success,获得成功
dictionary,词典
sleep,睡着
Handle,办理
Diversification,多元化
pathology,病理
Lovers,恋人
navigation,导航
massage,按摩
antigen,抗原
Buying and selling,买卖
theme,题材
attack,抨击
kingdom,王国
Implanted,植入
Temperature,气温
Stewart,斯特
cup,杯子
Cut off,切断
Hands,手上
midnight,午夜
riot,暴乱
a period of time,一段时间
Open,开口
Bills,账单
processor,处理器
antibiotic,抗生素
integrated,集成
generator,发电机
width,宽度
delta,三角洲
Put in,放进
Singing,唱歌
transfer,转让
Fernando,费尔南多
Hu Jintao,胡锦涛
Reflection,反思
employment,雇用
new book,新书
Shiites,什叶派
Appropriation,拨款
administrator,管理员
Institute,研究院
Catholicism,天主教
bone,骨头
Funding,经费
take out,取出
Shrinkage,萎缩
at the moment,眼下
Quantify,量化
Send,传送
eyeball,眼球
Concerned,关切
relative,亲戚
belly,肚子
crocodile,鳄鱼
Arrangement,布置
Chelsea,切尔西
transfer,调用
Royal family,皇室
resection,切除
Boeing,波音
Turn off,关掉
From,免受
Attributed to,归咎于
Pharmaceuticals,制药
catch up,赶上
Surrounding,周边
Profit,获利
Opened,开办
Regulation,调控
This item,此项
landing,降落
deepen,加深
appropriate,恰当
On the table,桌上
teach,教导
So much so,以至于
Anne,安妮
fracture,骨折
top,顶部
trade surplus,贸易顺差
Zambezi River,赞比西河
A few days,几天
severe,严厉
Select,选取
opposition,对立
face,面孔
Activists,主义者
A known,已知
January,一月
That's right,没错
robbery,抢劫
Efficient,有效率
ownership,所有权
A word,一句
death penalty,死刑
Sichuan,四川
financial system,金融体系
first place,首位
Fraud,欺诈
Eat,进食
Around,四周
Leave,离职
Haiti,海地
Campus,分校
wound,伤口
rent,租金
Medium term,中期
Traveler,旅行者
Ghana,加纳
E-commerce,电子商务
city,都市
shooting,射击
play,玩耍
correct,纠正
Included,列入
bottle,瓶子
meat,肉类
roommate,室友
studio,工作室
ethics,伦理
health care,保健
penetration,渗透
Castro,卡斯特罗
strain,应变
ecosystem,生态系统
maturity,到期
Research results,研究成果
close,紧密
full,充分
Findings,调查结果
incredible,难以置信
Discomfort,不适
Camera,摄像机
Enjoy,享用
List,列举
room,屋子
fetus,胎儿
ASEAN,东盟
Chile,智利
rights and interests,权益
Oil and gas,油气
magic,魔法
little boy,小男孩
layout,布局
early morning,清晨
Applicants,应聘者
Inside the party,党内
transfer,移交
Underwater,水下
regeneration,再生
Write,写出
Appreciate,赞赏
Used,所用
Sort,排序
Liverpool,利物浦
Awards,奖项
Happiness,幸福感
cruel,残忍
Racing team,车队
display,展出
carpet,地毯
Low temperature,低温
air force,空军
judge,评判
apparel,服饰
act as,充当
Ordinary people,普通人
Capital,首府
From,出自
Silicon Valley,硅谷
Predict,预示
Investors,投资人
Education,学历
degradation,降解
Healthy body,身体健康
delivery,输送
effort,功夫
actress,女演员
manual,手工
Upload,上传
place,之地
Intellectual property,知识产权
usage,用法
passport,护照
Looks,长相
last night,昨晚
stadium,体育场
lie,撒谎
To be late,迟到
Snow,斯诺
housework,家务
leaf,叶子
arm,胳膊
knight,骑士
plate,盘子
tender,投标
Drilling,钻探
Displacement,位移
frustration,挫折
clever,巧妙
No,不可
shake hands,握手
Declared,宣告
This book,一书
Island,岛上
Lobby,游说
toxin,毒素
Irradiation,照射
Licensed,特许
underestimate,低估
distant,遥远
Signing,签约
Waters,水域
search engine,搜索引擎
star,恒星
Cutting,切割
Sold,卖掉
title,头衔
Australia,澳洲
log in,登录
Capture,捕捉
Twitter,推特
Imagination,想象力
chicken,鸡肉
Beauty,美容
Reachable,可达
constellation,星座
track,跑道
Bangkok,曼谷
massacre,大屠杀
others,他人
Catherine,凯瑟琳
card,卡片
smooth,光滑
Goldman Sachs,高盛
Distinguish,分辨
Use,动用
Business,商机
Turkey,火鸡
Will,威尔
Control,控制权
spring,春季
tolerate,容忍
Rings,戒指
easy to,便于
luck,运气
crew,船员
Hero,主人公
Connected,相连
Negotiate,进行谈判
fool,傻瓜
Review,审议
desk,办公桌
Construction industry,建筑业
Trajectory,轨迹
Exhibitors,参展
unique,独一无二
potato,土豆
far away,远处
Ranked,位居
Cover,封面
autonomy,自治
legend,传奇
cable,电缆
sponsor,赞助
calm,平息
interest,利息
Lay,奠定
Known,所知
straight line,直线
sisters,姐妹
Downtown,市区
textile,纺织品
candle,蜡烛
category,类别
distribution,分发
cross,交叉
San Diego,圣地亚哥
Ministry of Foreign Affairs,外交部
serious,认真
Waiter,服务员
Sight,视线
Military government,军政府
last week,上星期
Outlook,展望
Great,很棒
League,联赛
puppy,小狗
Native language,母语
Go,地去
plasma,血浆
Looks good,长得
thing,事儿
One line,一行
medium,媒介
slogan,口号
Charge,充电
monopoly,垄断
evil,邪恶
busy,繁忙
Comrade,同志
liver,肝脏
States,各州
decree,法令
Forbes,福布斯
chef,厨师
Carbohydrates,碳水化合物
evolution,演化
interval,间隔
Function,职能
effect,功效
Fall asleep,入睡
Manpower,人力
Induced,诱发
category,范畴
Episode,剧集
Tete province,太特省
example,榜样
Merkel,默克尔
rabbit,兔子
competitor,竞争者
deepen,深化
Pleasant,愉悦
custom made,定制
People,人中
Brussels,布鲁塞尔
bishop,主教
Audi,奥迪
Tibet,西藏
Translator,译者
proportion,比重
specific,具体
outdoor,户外
Mike,迈克
Girl,女孩子
T-shirt,T恤
Change,发生变化
Lincoln,林肯
the next day,第二天
Inspiration,启示
Mechanics,力学
hit,击中
starch,淀粉
X-ray,X射线
Wanji,万吉
Near,临近
Identification,鉴别
Switch,切换
accommodate,容纳
Reached,传到
in advance,提前
April,四月
Two big,两大
Jewish,犹太
flexibility,灵活性
Nixon,尼克松
corner,角落
submit,递交
Called,称作
basketball,篮球
June,六月
broken,破碎
bookstore,书店
servant,仆人
Pay attention,留意
A door,一门
Go abroad,出国
Dealer,经销商
Family members,家属
Tax cuts,减税
course,历程
Find one,找个
headache,头痛
Institutions,院校
assumed,假定
evening,晚间
emperor,皇帝
wing,翅膀
hemiplegia,偏瘫
Take a bath,洗澡
province,省份
Increase,加重
Glow,发光
Ceasefire,停火
World,世人
Plane,架飞机
Longer,更长
Dominate,支配
detention,拘留
gloves,手套
Stir,搅拌
courtyard,院子
Car,车子
exaggeration,夸张
rope,绳子
The play,剧中
Pay,缴纳
laughing out loud,大笑
Man can,人能
lie,说谎
Traits,性状
Entrance,入口
Explore,探究
Self-proclaimed,自称
wonderful,精彩
believer,信徒
Flag,国旗
universal,普及
Take,迈出
Amount,数额
Extinct,灭绝
a new round,新一轮
Class,上课
Bleeding,出血
Camp,营地
Small and medium enterprises,中小企业
vision,眼光
Relief,救济
butter,黄油
paralysis,瘫痪
Send,发给
sad,伤心
yellow,黄色
Tehran,德黑兰
Jobs,工作岗位
East Asia,东亚
Immersed,沉浸
Terry,特里
court,球场
popularity,支持率
body and mind,身心
star,星星
container,集装箱
banquet,宴会
microwave,微波
Brasilia,巴西利亚
stress reliever,减压
proliferation,增殖
blasting,爆破
is known as,被称作
wild animals,野生动物
defend,捍卫
Turn,转动
Health status,健康状况
interrupt,打断
Toyota,丰田
California,加利福尼亚
Poor,不佳
Texas,德克萨斯州
antenna,天线
solid,固体
Closed,封闭
Condition,病情
coin,硬币
Academic,学业
Asked about,问及
Ottawa,渥太华
Water supply,供水
Annual production,年产量
Holy land,圣地
scale,尺度
Unusual,寻常
next week,下周
Mountain,山区
Publisher,出版商
theater,剧院
Weir,维尔
element,元件
Indonesia,印度尼西亚
Syndrome,综合症
Early morning,凌晨
Jordan,约旦
Government department,政府部门
Admission,入学
lyrics,歌词
July,七月
Alexander,亚历山大
Play a role,发挥作用
Elimination,淘汰
Fill,填补
terrain,地形
beautiful,优美
brown,棕色
Developer,开发者
Tips,秘诀
rubber,橡胶
Go out,出门
Mental health,心理健康
Rwanda,卢旺达
Analysis,解析
import and export,进出口
Neurons,神经元
spectrum,光谱
Six-nation talks,六方会谈
Example,示例
Two,两只
Condemned,罪名
Eat,吃掉
bay,海湾
British government,英国政府
Deadline,截止
pack,收拾
Peak,峰值
multinational,跨国公司
cruel,残酷
salad,沙拉
veto,否决
joke,玩笑
obey,服从
repair,修理
cliff,悬崖
Default,违约
slow,放慢
David,戴维
Time period,时段
Cats,猫咪
captain,船长
stay,住宿
Avenue,大道
balloon,气球
sugar cane,甘蔗
Bracket,支架
Buffett,巴菲特
ceramics,陶瓷
youth,青春
Cameron,卡梅伦
send,派出
now,现今
owner,所有者
luxurious,奢华
tariff,关税
power supply,电源
Electronic games,电子游戏
Shop,店里
Grid,电网
professional,专业人士
good looking,好看
Made,所作
Open,敞开
Undo,撤销
tongue,舌头
Marry,嫁给
Over the sky,上空
Hot spots,热点
Ministry of Commerce,商务部
Backup,备份
enhance,增进
accent,口音
Wuhan,武汉
Alarm clock,闹钟
Repression,镇压
baseball,棒球
Kosovo,科索沃
formalities,手续
Submerged,淹没
south,南方
recruit,招募
Uncover,揭露
Excavation,发掘
order,订购
subversion,颠覆
force,武力
suspects,嫌疑人
initial,初始
cinema,电影院
panda,熊猫
confuse,迷惑
Documentary,纪录片
Sexy,性感
stairs,楼梯
test,测验
Joseph,约瑟夫
drink,饮用
architect,建筑师
Oman,阿曼
actual,实际
view,视图
senescence,衰老
skeleton,骨骼
Motor,电机
Import volume,进口额
Resolve,化解
Serbia,塞尔维亚
Government forces,政府军
Demonstrator,示威者
mosque,清真寺
Della,德拉
Imbalance,失衡
Promulgated,颁布
October,十月
freeze,冻结
reception,招待会
olive oil,橄榄油
widely used,广泛应用
police officer,警官
Rice,水稻
broad,广阔
Press,出版社
chest,胸部
grandmother,祖母
Disney,迪士尼
Coca Cola,可口可乐
slave,奴隶
character,字符
Three,三名
laptop,笔记本电脑
cough,咳嗽
Weibo,微博上
Full,充实
Different,截然不同
Cruise,克鲁斯
Lead,引领
May,五月
Distribute,散发
Pentagon,五角大楼
Rating,评级
Relatives,亲人
Pennsylvania,宾夕法尼亚州
charming,迷人
Punishment,处罚
destruction,毁坏
not see,不见
tour,游览
Milan,米兰
Comments,注释
Informed,知情
brilliant,辉煌
short,短暂
isolation,隔离
Farah,法拉
In the film,片中
Uganda,乌干达
tax rate,税率
Round,一轮
years,岁月
gorgeous,华丽
pork,猪肉
Manchester United,曼联
Mursi,穆尔西
fluid,流体
additive,添加剂
Apoptosis,凋亡
Analytical method,分析方法
Feeding,饲养
abstract,抽象
isolated,孤立
crop,农作物
disaster,灾害
Rich,富含
shape,外形
longest,最长
refute,反驳
farmland,农田
station,车站
the mall,商场
Find,查找
weakness,弱点
shorts,短裤
Frank,弗兰克
cry,哭泣
Telecommunications company,电信公司
officer,军官
Christian,基督徒
is harmful to,不利于
layout,铺设
calendar,日历
entrepreneur,创业者
coffee shop,咖啡馆
Log,日志
backpack,背包
Opening,开幕
wrinkle,皱纹
diary,日记
chase,追逐
more than,多于
Circulation,流通
bombing,轰炸
mining,采矿
Place,安置
oath,誓言
Drafting,起草
Four kinds,四种
critic,评论家
Issued,颁发
Detroit,底特律
Susan,苏珊
Busy,忙于
Andrews,安卓
Column,专栏
Saddam,萨达姆
Popularity,人气
Clear,鲜明
witness,目睹
capture,捕获
revival,复兴
schedule,时间表
nuclear power plant,核电站
Cambodia,柬埔寨
Flavor,风味
Strata,地层
Fire,大火
lunch,午饭
Get up early,早起
Summary,综述
memory,记忆力
load,负载
collapse,倒闭
eyewitness,目击者
UAV,无人机
Surge,激增
唿 sound,唿声
suffering,苦难
chief,首席
urgent need,急需
Downturn,低迷
Dinner,晚宴
Philadelphia,费城
not good,不好
Financial deficit,财政赤字
bullet,子弹
contract,合约
valuable,宝贵
Step into,步入
open up,开辟
Murdoch,默多克
Close,亲近
Sea,大海
dust,灰尘
narrow,狭窄
biography,传记
rest assured,放心
honey,蜂蜜
With,配有
competent,胜任
mating,交配
Fluorescence,荧光
Blair,布莱尔
meditation,冥想
Counterattack,反击
close,密切
Thanks to,归功于
Bored,厌烦
Involved,卷入
Pay,付费
Operation,运算
Two,两条
Asked,问道
change,变更
Poor,可怜
A cup,一杯
tidy,整洁
strong,强壮
Mao Zedong,毛泽东
Vulnerability,漏洞
A,一期
drive,带动
feather,羽毛
Appearance,亮相
class,阶级
summer vacation,暑假
annex,附件
trace,痕迹
Securities trading,证券交易
Yemen,也门
coating,涂料
grandfather,祖父
wall,墙壁
unknown,未知
integral,积分
ecosystem,生态环境
Bird,鸟儿
immune system,免疫系统
Take office,上任
erosion,侵蚀
Celestial body,天体
Amount,用量
rising,攀升
toxicity,毒性
kill,杀人
replace,替换
situation,境地
Tree,树上
New York state,纽约州
custom,习俗
Song,首歌
opinion,见解
camera,摄像头
Clothing,衣物
objective,客观
lover,情人
pension,养老金
Payment,款项
Worse,更糟
set foot on,踏上
recording,录音
I am sorry,对不起
Cairo,开罗
collection,征收
August,八月
New Delhi,新德里
Competition,大赛
West Africa,西非
Menstruation,月经
contour,轮廓
teammate,队友
Complexity,复杂性
spiral,螺旋
Regal,富豪
vampire,吸血鬼
Profanity,亵渎
Energy saving,节能
painter,画家
Keen to,热衷于
steam,蒸汽
salon,沙龙
Improved,改良
appeal,上诉
Settlements,定居点
Dahl,达尔
Guidelines,指引
Violence,暴力事件
One,一身
promote,提倡
cold war,冷战
spaceship,飞船
coastal,沿海
swear,发誓
team leader,队长
show off,炫耀
Security Council,安理会
Abortion,堕胎
get conclusion,得出结论
blame,责备
subordinate,下属
Pregnant women,孕妇
residence,住所
nausea,恶心
South Ossetia,南奥塞梯
Wear,佩戴
Reinforced,加固
